"Population"	"Species"	"Date"	"Month"	"Quadrat"	"Cauloid_size"	"Leaf_size"	"Fertility"	"Stage"	"Subpopulation"	"Year"	"uniq_id"	"lon"	"lat"
"140"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"7"	4	18	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"141"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"7"	9	23	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"142"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"7"	10	15	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"143"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"7"	9	19	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"144"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"7"	8	20	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"145"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"8"	6	9	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"146"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"8"	5	12	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"147"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"8"	6	15	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"148"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"8"	12	18	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"149"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"9"	1	6	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"150"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"9"	5	12	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"151"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"9"	7	11	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"152"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"9"	6	17	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"153"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"9"	6	11	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"154"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"10"	8	13	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"155"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"10"	3	15	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"156"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"10"	3	13	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"157"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"10"	4	16	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
